nextclade,pangolin,Count,isAncestral,distance
AY.1,AY.4,1,0,2
AY.1,AY.5,1,0,2
AY.1,B.1.617.2,18,1,1
AY.100,AY.113,1,0,2
AY.100,AY.4,1,0,2
AY.100,B.1.617.2,3,1,1
AY.103,AY.100,1,0,2
AY.103,AY.4,11,0,2
AY.103,B.1.617.2,1,1,1
AY.105,B.1.617.2,2,1,1
AY.109,B.1.617.2,15,1,1
AY.111,AY.39.1,1,0,3
AY.111,B.1.617.2,2,1,1
AY.112,AY.4,2,0,2
AY.113,AY.4,1,0,2
AY.116,AY.103,2,0,2
AY.116,AY.116.1,1,1,1
AY.119,AY.119.2,3,1,1
AY.119,AY.4,3,0,2
AY.119,B.1.617.2,1,1,1
AY.14,B.1.617.2,1,1,1
AY.2,B.1.617.2,1,1,1
AY.25,AY.25.1,183,1,1
AY.25,AY.25.3,6,1,1
AY.25,AY.4,8,0,2
AY.25,B.1.617.2,1,1,1
AY.25.1,AY.4,13,0,3
AY.26,B.1.617.2,4,1,1
AY.3,AY.3.1,2,1,1
AY.3,AY.4,1,0,2
AY.3,B.1.617.2,2,1,1
AY.3.2,AY.3,51,1,1
AY.3.2,AY.4,1,0,3
AY.3.3,AY.3,29,1,1
AY.35,B.1.617.2,4,1,1
AY.36,B.1.617.2,1,1,1
AY.39,AY.25.1,1,0,3
AY.39,AY.39.1,1,1,1
AY.39,AY.39.2,1,1,1
AY.39,AY.4,2,0,2
AY.39,B.1.617.2,13,1,1
AY.39.1,AY.39.1.1,14,1,1
AY.4.17,AY.4,1,1,1
AY.43,AY.43.3,2,1,1
AY.43,AY.43.8,24,1,1
AY.43,AY.43.9,1,1,1
AY.44,AY.100,1,0,2
AY.44,AY.103,1,0,2
AY.44,AY.25.1,1,0,3
AY.44,AY.3.1,1,0,3
AY.44,B.1.617.2,5,1,1
AY.46,AY.46.1,3,1,1
AY.54,B.1.617.2,3,1,1
AY.70,B.1.617.2,1,1,1
AY.75,B.1.617.2,2,1,1
AY.98.1,AY.98,1,1,1
AY.99,AY.99.1,4,1,1
B.1,AY.13,1,1,3
B.1,AY.16,1,1,3
B.1,AY.44,2,1,3
B.1,B.1.1,6,1,1
B.1,B.1.1.7,1,1,2
B.1,B.1.139,1,1,1
B.1,B.1.2,130,1,1
B.1,B.1.305,3,1,1
B.1,B.1.333,2,1,1
B.1,B.1.369,1,1,1
B.1,B.1.405,1,1,1
B.1,B.1.533,1,1,1
B.1,B.1.582,2,1,1
B.1,B.1.595,4,1,1
B.1,B.1.617.2,22,1,2
B.1,B.1.621,1,1,1
B.1.1,B.1.1.222,5,1,1
B.1.1.7,Q.4,1,1,1
B.1.558,B.1.243,1,0,2
B.1.596,B.1,37,1,1
B.1.596,B.1.1,3,0,2
B.1.596,B.1.2,50,0,2
B.1.596,B.1.533,4,0,2
B.1.596,B.1.595,1,0,2
B.1.596,B.1.617.2,5,0,3
B.1.596.1,B.1,2,1,2
B.1.596.1,B.1.2,5,0,3
B.1.617,AY.103,1,1,2
B.1.617,AY.113,1,1,2
B.1.617,AY.122,1,1,2
B.1.617,AY.14,1,1,2
B.1.617,AY.26,1,1,2
B.1.617,AY.44,4,1,2
B.1.617,AY.75,1,1,2
B.1.617,B.1,5,1,1
B.1.617,B.1.427,3,0,2
B.1.617,B.1.617.2,36,1,1
B.1.617.2,AY.100,12,1,1
B.1.617.2,AY.103,211,1,1
B.1.617.2,AY.107,2,1,1
B.1.617.2,AY.113,2,1,1
B.1.617.2,AY.114,8,1,1
B.1.617.2,AY.116,2,1,1
B.1.617.2,AY.116.1,1,1,2
B.1.617.2,AY.117,1,1,1
B.1.617.2,AY.118,12,1,1
B.1.617.2,AY.119,18,1,1
B.1.617.2,AY.119.2,1,1,2
B.1.617.2,AY.120.1,1,1,2
B.1.617.2,AY.121,7,1,1
B.1.617.2,AY.122,16,1,1
B.1.617.2,AY.126,4,1,1
B.1.617.2,AY.127,1,1,1
B.1.617.2,AY.13,5,1,1
B.1.617.2,AY.14,19,1,1
B.1.617.2,AY.2,1,1,1
B.1.617.2,AY.20,22,1,1
B.1.617.2,AY.24,2,1,1
B.1.617.2,AY.25,35,1,1
B.1.617.2,AY.25.1,24,1,2
B.1.617.2,AY.26,28,1,1
B.1.617.2,AY.3,24,1,1
B.1.617.2,AY.3.1,1,1,2
B.1.617.2,AY.35,1,1,1
B.1.617.2,AY.38,3,1,1
B.1.617.2,AY.39,73,1,1
B.1.617.2,AY.39.1,2,1,2
B.1.617.2,AY.4,4,1,1
B.1.617.2,AY.43,1,1,1
B.1.617.2,AY.43.8,1,1,2
B.1.617.2,AY.44,85,1,1
B.1.617.2,AY.47,9,1,1
B.1.617.2,AY.48,2,1,1
B.1.617.2,AY.5.3,1,1,2
B.1.617.2,AY.52,1,1,1
B.1.617.2,AY.54,4,1,1
B.1.617.2,AY.56,1,1,1
B.1.617.2,AY.62,1,1,1
B.1.617.2,AY.65,1,1,1
B.1.617.2,AY.67,2,1,1
B.1.617.2,AY.75,16,1,1
B.1.617.2,AY.80,1,1,1
B.1.617.2,AY.9,1,1,1
B.1.617.2,AY.98,6,1,1
B.1.617.2,B.1,1,1,2
B.1.621.2,BB.1,5,0,3
BA.1.17.2,BA.1.17,6,1,1
P.1,P.1.4,3,1,1
P.1.12.1,P.1.12,3,1,1
